class_id,latitude,longitude,class_name,tree_presence,tree_cover,vegetation_height,shrub_presence,herb_presence,graminoid_proxy_ndvi_std,builtup_presence,building_presence,bareSoil_presence,bare_soil_temporal_length,waterbody_presence,artificiality,construction_use,vegetation_artificiality,elev,timber_extraction_rotation,agricultural_activity_type,residential,oilpalm_presence,rubber_presence,mangrove_presence,coffee_presence,other_species_presence
20,-3.245356042,104.6700353,Settlement,0,10.0,0,0,0.0,0,0.9209,1,0,0,0,0,23,1,16,0,0,2,0,0,,,
23,-3.152753891,104.6499782,Waterbody,0,30.0,4,1,0.0,0,0.0,0,0,0,0,0,11,0,6,0,0,0,0,0,,,
13,-3.771293634,104.519826,Other Cropland,0,11.0,0,0,0.978066401,1,0.0,0,0,0,0,0,13,1,15,0,1,0,0,0,,,
23,-3.270692654,104.6072422,Waterbody,0,27.0,0,0,0.0,1,0.0,0,0,0,18,0,11,0,9,0,0,0,0,0,,,
2,-3.689094565,104.5564842,Secondary Dryland Forest,1,53.0,15,0,0.0,0,0.0,0,0,0,0,0,12,0,44,7,0,0,0,0,,,
13,-3.381947226,104.6749938,Other Cropland,0,8.0,0,0,0.936443355,1,0.879995027,0,0,0,0,0,12,1,19,0,1,1,0,0,,,
20,-3.696032927,104.5040809,Settlement,0,14.0,0,0,0.0,0,0.9131,1,0,0,0,0,13,1,27,0,0,1,0,0,,,
20,-3.523554898,104.4693133,Settlement,0,15.0,0,0,0.0,0,0.9275,1,0,0,0,0,13,1,24,0,0,1,0,0,,,
23,-3.415912198,104.7864579,Waterbody,0,,0,0,0.0,1,0.0,0,0,0,85,0,21,0,10,0,0,0,0,0,,,
15,-3.211177033,104.5733084,Rubber agroforestry,1,29.0,9,0,0.0,0,0.0,0,0,0,0,0,12,0,23,0,1,0,0,1,,,1.0
21,-3.408055262,104.7272054,Cleared Land,0,21.0,0,0,0.7579873,1,0.0,0,1,0,0,0,11,0,17,0,0,0,0,1,,,
13,-3.215444392,104.6667578,Other Cropland,0,12.0,0,0,0.900154378,1,0.0,0,1,0,0,0,21,0,8,0,0,0,0,1,,,
23,-3.116336412,104.7816688,Waterbody,0,,0,0,0.0,1,0.0,0,0,2,97,0,21,0,3,0,0,0,0,0,,,
6,-3.568083481,104.6236205,Secondary Swamp Forest,0,26.0,3,1,0.0,0,0.0,0,0,0,12,0,11,0,14,0,0,0,0,1,,,
17,-3.126436276,104.7575451,Paddy Field,0,6.0,0,0,0.932021934,1,0.0,0,0,0,29,0,12,1,5,0,1,0,0,0,,,
20,-3.582120731,104.5911315,Settlement,1,15.0,10,0,0.0,0,0.9447,1,0,0,0,0,13,1,17,0,0,1,0,0,,,
16,-3.355491379,104.7936505,Mixed/home Garden,0,8.0,0,0,0.0,1,0.567929792,0,0,0,5,0,21,1,6,0,1,1,0,0,,,
21,-3.087392387,104.672675,Cleared Land,0,23.0,0,0,0.311101394,0,0.0,0,1,0,0,0,11,0,8,0,0,0,0,0,,,
8,-3.62999364,104.5065602,Rubber monoculture,1,31.0,7,0,0.0,0,0.0,0,0,0,0,0,11,0,35,7,0,0,0,1,,,0.0
9,-3.143545847,104.6136455,Oil palm monoculture,1,25.0,10,0,0.0,0,0.0,0,0,0,0,0,11,0,8,7,1,0,0,0,,,
8,-3.610235363,104.5226308,Rubber monoculture,1,44.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,37,0,0,0,0,1,,,0.0
23,-3.155028032,104.7599263,Waterbody,0,,0,0,0.0,1,0.0,0,0,2,94,0,21,0,4,0,0,0,0,0,,,
2,-3.718502337,104.5411494,Secondary Dryland Forest,1,39.0,11,0,0.0,0,0.0,0,0,0,0,0,11,0,33,9,0,0,0,1,,,
23,-3.381902635,104.6701646,Waterbody,0,7.0,0,0,0.0,0,0.0,0,0,0,0,0,12,1,13,0,1,0,0,0,,,
21,-3.200038198,104.6395172,Cleared Land,0,2.0,0,0,0.0,0,0.897781667,0,1,1,2,0,11,1,19,0,0,1,0,0,,,
13,-3.399315424,104.6915326,Other Cropland,0,14.0,0,0,0.93585615,1,0.0,0,0,0,0,0,12,0,12,0,0,0,0,0,,,
23,-3.534680355,104.5804698,Waterbody,0,17.0,0,0,0.0,0,0.0,0,0,0,1,0,11,0,19,0,0,0,0,0,,,
23,-3.390945692,104.6896062,Waterbody,0,9.0,0,0,0.0,1,0.0,0,0,0,1,0,11,1,13,0,1,0,0,0,,,
16,-3.402936214,104.7357936,Mixed/home Garden,0,23.0,3,0,0.0,1,0.639562344,0,0,0,0,0,12,1,18,0,1,1,0,0,,,
18,-3.140888223,104.699987,Grass or Savanna,0,13.0,0,0,0.902025406,1,0.0,0,0,0,0,0,11,0,4,0,0,0,0,0,,,
16,-3.064615299,104.7135739,Mixed/home Garden,0,12.0,0,0,0.0,0,0.0,0,0,0,0,0,12,1,8,0,1,0,0,0,,,
23,-3.374059076,104.6653755,Waterbody,0,,0,0,0.0,1,0.0,0,0,0,10,0,11,0,15,0,0,0,0,0,,,
23,-3.433240265,104.7689114,Waterbody,0,,0,0,0.0,1,0.0,0,0,0,91,0,21,0,12,0,0,0,0,0,,,
16,-3.222694891,104.6236517,Mixed/home Garden,1,24.0,7,0,0.0,0,0.0,0,0,0,0,0,11,0,18,23,1,0,0,1,,,
21,-3.352106921,104.6980072,Cleared Land,0,21.0,0,0,0.535921866,1,0.0,0,1,0,0,0,11,0,15,0,0,0,0,0,,,
21,-3.576457673,104.4935307,Cleared Land,0,30.0,0,0,0.380126277,0,0.0,0,1,0,0,0,11,0,31,0,0,0,0,0,,,
9,-3.524197008,104.418591,Oil palm monoculture,1,60.0,11,0,0.0,0,0.0,0,0,0,0,0,11,0,21,0,1,0,1,0,,,
9,-3.716959488,104.3849738,Oil palm monoculture,1,41.0,12,0,0.0,0,0.0,0,0,0,0,0,11,0,30,5,1,0,1,1,,,
6,-3.193719652,104.6314105,Secondary Swamp Forest,0,15.0,0,0,0.63943399,0,0.0,0,0,0,26,0,11,0,11,0,0,0,0,0,,,
20,-3.199275692,104.6583346,Settlement,0,7.0,0,0,0.0,0,0.9366,1,0,0,0,0,23,1,14,0,0,2,0,0,,,
9,-3.133722447,104.6156298,Oil palm monoculture,1,46.0,11,0,0.0,0,0.0,0,0,0,0,0,12,0,10,7,1,0,1,0,,,
15,-3.381804534,104.5132889,Rubber agroforestry,1,39.0,11,0,0.0,0,0.0,0,0,0,0,0,11,0,24,4,1,0,0,1,,,1.0
21,-3.186473613,104.6457332,Cleared Land,0,0.0,0,0,0.875225427,0,0.0,0,1,1,0,0,12,0,7,0,0,0,0,0,,,
23,-3.568725591,104.5679397,Waterbody,0,6.0,0,0,0.0,1,0.0,0,0,1,72,0,11,0,10,0,0,0,0,0,,,
21,-3.484056181,104.433636,Cleared Land,0,40.0,0,0,0.608356101,0,0.0,0,1,0,0,0,11,0,39,0,0,0,0,0,,,
18,-3.404978483,104.7298318,Grass or Savanna,0,13.0,0,0,0.918335495,1,0.862054037,0,0,0,0,0,11,1,13,0,1,1,0,0,,,
18,-3.304697759,104.6779145,Grass or Savanna,0,14.0,0,0,0.970715732,1,0.62571988,0,0,0,0,0,21,1,12,0,0,1,0,0,,,
9,-3.525944976,104.3711328,Oil palm monoculture,1,78.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,32,0,1,0,1,0,,,
23,-3.241628234,104.6952203,Waterbody,0,,0,0,0.0,0,0.0,0,0,1,36,0,21,0,9,0,0,0,0,0,,,
21,-3.474228322,104.5742939,Cleared Land,0,8.0,0,0,0.11960193,0,0.0,0,1,0,0,0,11,0,34,0,0,0,0,0,,,
20,-3.34035719,104.6509637,Settlement,0,9.0,0,0,0.0,0,0.9193,1,0,0,0,0,23,1,15,0,0,2,0,0,,,
20,-3.350202885,104.7847902,Settlement,0,10.0,0,0,0.0,1,0.9533,1,0,0,0,0,23,1,13,0,0,2,0,0,,,
13,-3.355629611,104.7043748,Other Cropland,0,12.0,0,0,0.947431171,1,0.195651545,0,0,0,0,0,11,1,20,0,1,1,0,0,,,
8,-3.271022628,104.7260282,Rubber monoculture,0,42.0,3,1,0.0,0,0.0,0,0,0,0,0,11,0,13,0,0,0,0,1,,,0.0
20,-3.337409724,104.655075,Settlement,0,16.0,0,0,0.0,0,0.9824,1,0,0,0,0,23,1,12,0,0,2,0,0,,,
20,-3.339081887,104.6537328,Settlement,0,12.0,0,0,0.0,0,0.921,1,0,0,0,0,23,1,13,0,0,2,0,0,,,
17,-3.06436113,104.7654823,Paddy Field,0,10.0,0,0,0.967865087,1,0.0,0,1,0,0,0,12,1,6,0,1,0,0,0,,,
8,-3.426886046,104.6921123,Rubber monoculture,0,11.0,0,0,0.774836731,1,0.0,0,0,0,0,0,12,0,22,0,0,0,0,0,,,0.0
9,-3.661430302,104.4373237,Oil palm monoculture,1,53.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,33,0,1,0,1,0,,,
6,-3.138810282,104.6795777,Secondary Swamp Forest,0,13.0,0,0,0.444114154,1,0.0,0,0,0,18,0,11,0,4,0,0,0,0,0,,,
17,-3.0831607,104.7709848,Paddy Field,0,10.0,0,0,0.903397677,1,0.0,0,0,0,38,0,12,1,5,0,1,0,0,0,,,
2,-3.58282081,104.3310187,Secondary Dryland Forest,1,45.0,14,0,0.0,0,0.0,0,0,0,0,0,11,0,59,0,0,0,0,1,,,
13,-3.307078919,104.6095565,Other Cropland,0,9.0,0,0,0.941870601,1,0.50755298,0,0,0,0,0,12,1,26,0,1,1,0,0,,,
8,-3.607644625,104.5154025,Rubber monoculture,1,29.0,6,0,0.0,0,0.0,0,0,0,0,0,12,0,36,0,0,0,0,1,,,0.0
16,-3.355295179,104.7996435,Mixed/home Garden,0,14.0,0,0,0.0,0,0.337211577,0,0,0,0,0,21,1,12,0,1,1,0,0,,,
9,-3.119488997,104.7250383,Oil palm monoculture,1,19.0,10,0,0.0,0,0.0,0,0,0,0,0,11,0,4,0,1,0,1,0,,,
9,-3.120554722,104.7183407,Oil palm monoculture,1,19.0,10,0,0.0,0,0.0,0,0,0,0,0,11,0,6,0,1,0,1,0,,,
16,-3.212697586,104.6308576,Mixed/home Garden,0,13.0,0,0,0.002442628,1,0.0,0,0,0,0,0,21,0,13,0,1,0,0,0,,,
23,-3.241066387,104.7212436,Waterbody,0,20.0,0,0,0.0,0,0.0,0,0,0,41,0,11,0,4,0,0,0,0,0,,,
23,-3.181733588,104.6888036,Waterbody,0,28.0,0,0,0.0,1,0.0,0,0,0,11,0,12,0,7,0,0,0,0,0,,,
8,-3.269519911,104.7316689,Rubber monoculture,0,30.0,5,0,0.394802836,0,0.0,0,0,0,0,0,11,0,10,0,0,0,0,1,,,0.0
16,-3.214151253,104.6306168,Mixed/home Garden,0,14.0,0,0,0.21957579,1,0.0,0,0,0,0,0,21,0,15,0,1,0,0,0,,,
16,-3.210762336,104.631085,Mixed/home Garden,0,12.0,0,0,0.892342894,1,0.092666461,1,0,0,0,0,21,1,19,0,1,1,0,0,,,
20,-3.345801753,104.5822668,Settlement,0,9.0,0,0,0.0,0,0.9659,1,0,0,0,0,22,1,21,0,0,2,0,0,,,
6,-3.246274617,104.6190677,Secondary Swamp Forest,1,22.0,6,0,0.0,0,0.0,0,0,0,28,0,11,0,10,0,0,0,0,0,,,
16,-3.134935323,104.6986003,Mixed/home Garden,0,17.0,0,0,0.631097251,0,0.0,0,0,0,0,0,12,0,4,0,1,0,0,0,,,
6,-3.543442489,104.5372165,Secondary Swamp Forest,0,29.0,0,0,0.112146823,0,0.0,0,0,0,10,0,11,0,15,0,0,0,0,0,,,
17,-3.119114432,104.7950417,Paddy Field,0,8.0,0,0,0.90482781,1,0.0,0,1,0,0,0,21,1,4,0,1,0,0,0,,,
13,-3.309032005,104.5838497,Other Cropland,0,7.0,0,0,0.957036788,1,0.116220955,0,0,0,0,0,11,1,23,0,1,1,0,0,,,
6,-3.261052078,104.695791,Secondary Swamp Forest,1,35.0,8,0,0.0,0,0.0,0,0,0,35,0,11,0,12,0,0,0,0,1,,,
9,-3.123083032,104.7220774,Oil palm monoculture,1,21.0,6,0,0.0,0,0.0,0,0,0,0,0,11,0,3,0,1,0,1,0,,,
17,-3.589705662,104.5957065,Paddy Field,0,9.0,0,0,0.907641536,1,0.0,0,0,0,26,0,11,1,12,0,1,0,0,0,,,
6,-3.538024681,104.5286996,Secondary Swamp Forest,0,31.0,0,0,0.193787181,0,0.0,0,0,0,17,0,11,0,14,0,0,0,0,0,,,
16,-3.135684452,104.6994698,Mixed/home Garden,0,19.0,0,0,0.088304452,0,0.635906946,1,0,0,0,0,12,1,5,0,1,1,0,0,,,
20,-3.588938697,104.5887592,Settlement,0,10.0,0,0,0.0,0,0.9068,1,0,0,0,0,13,1,26,0,0,1,0,0,,,
21,-3.060709127,104.7532644,Cleared Land,0,16.0,0,0,0.0,1,0.653555671,0,1,0,0,0,12,1,7,0,0,1,0,0,,,
20,-3.387110865,104.590962,Settlement,0,7.0,0,0,0.0,0,0.9106,1,0,0,0,0,23,1,14,0,0,2,0,0,,,
20,-3.541061329,104.4695853,Settlement,0,6.0,0,0,0.0,1,0.9755,1,0,2,70,0,13,1,15,0,0,1,0,0,,,
21,-3.307087837,104.5909442,Cleared Land,0,5.0,0,0,0.0,0,0.346099398,0,1,0,0,0,11,1,24,0,1,1,0,0,,,
23,-3.182839445,104.764916,Waterbody,0,,0,0,0.0,1,0.0,0,0,1,66,0,21,0,12,0,0,0,0,0,,,
6,-3.547629584,104.5309559,Secondary Swamp Forest,0,35.0,5,0,0.461461538,0,0.0,0,0,0,17,0,11,0,16,0,0,0,0,0,,,
18,-3.304911796,104.6773794,Grass or Savanna,0,14.0,0,0,0.972051169,1,0.0,0,0,0,0,0,21,0,16,0,0,0,0,0,,,
15,-3.329182683,104.5861819,Rubber agroforestry,1,33.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,26,0,1,0,0,1,,,1.0
20,-3.444486118,104.5914213,Settlement,0,12.0,0,0,0.0,0,0.9927,1,0,0,0,0,22,1,27,0,0,2,0,0,,,
6,-3.550759873,104.569536,Secondary Swamp Forest,1,42.0,9,0,0.0,0,0.0,0,0,0,31,0,11,0,17,0,0,0,0,0,,,
6,-3.676555573,104.5214669,Secondary Swamp Forest,1,47.0,14,0,0.0,0,0.0,0,0,0,14,0,11,0,26,0,0,0,0,0,,,
9,-3.095730906,104.7376932,Oil palm monoculture,0,7.0,0,0,0.0,1,0.0,0,0,0,0,0,12,1,5,0,1,0,0,0,,,
20,-3.417570984,104.5330026,Settlement,0,11.0,0,0,0.0,0,0.9059,1,0,0,0,0,13,1,26,0,0,1,0,0,,,
21,-3.492434832,104.5470131,Cleared Land,0,5.0,0,0,0.196065701,1,0.0,0,1,0,0,0,11,0,37,0,0,0,0,0,,,
15,-3.737997527,104.5431872,Rubber agroforestry,1,37.0,7,0,0.0,0,0.0,0,0,0,0,0,13,0,27,0,1,0,0,0,,,1.0
20,-3.443518493,104.6713284,Settlement,0,14.0,0,0,0.0,0,0.9948,1,0,0,0,0,23,1,24,0,0,2,0,0,,,
15,-3.552748632,104.3317322,Rubber agroforestry,1,51.0,14,0,0.0,0,0.0,0,0,0,0,0,13,0,26,23,1,0,0,1,,,1.0
6,-3.133914189,104.698792,Secondary Swamp Forest,0,16.0,0,0,0.404903153,0,0.0,0,0,0,15,0,12,0,4,0,0,0,0,0,,,
21,-3.057922189,104.7539288,Cleared Land,0,14.0,0,0,0.491921731,1,0.0,0,1,0,0,0,12,0,5,0,0,0,0,0,,,
20,-3.33386028,104.7747885,Settlement,0,14.0,0,0,0.0,0,0.991,1,0,0,0,0,23,1,16,0,0,2,0,0,,,
2,-3.717726453,104.543477,Secondary Dryland Forest,1,29.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,44,11,0,0,0,1,,,
20,-3.738091168,104.5457066,Settlement,0,13.0,0,0,0.0,0,0.9093,1,0,0,0,0,13,1,24,0,0,1,0,0,,,
6,-3.545881617,104.518729,Secondary Swamp Forest,0,35.0,0,0,0.209108167,0,0.0,0,0,0,25,0,11,0,14,0,0,0,0,0,,,
8,-3.388626959,104.5574474,Rubber monoculture,0,25.0,5,0,0.763872265,0,0.0,0,0,0,0,0,11,0,28,0,0,0,0,1,,,0.0
20,-3.665332016,104.5735091,Settlement,0,15.0,0,0,0.0,0,0.9409,1,0,0,0,0,13,1,25,0,0,1,0,0,,,
20,-3.209915107,104.6439138,Settlement,0,8.0,0,0,0.0,0,0.9029,1,0,0,0,0,23,1,17,0,0,2,0,0,,,
13,-3.419301115,104.696772,Other Cropland,0,14.0,0,0,0.931572046,1,0.073639514,0,0,0,0,0,11,1,17,0,1,1,0,0,,,
20,-3.69457926,104.4680023,Settlement,0,13.0,0,0,0.0,0,0.9048,1,0,0,0,0,23,1,27,0,0,2,0,0,,,
21,-3.48901916,104.4343896,Cleared Land,0,27.0,5,0,0.420889982,0,0.0,0,1,0,0,0,11,0,48,0,0,0,0,1,,,
6,-3.537074892,104.5373592,Secondary Swamp Forest,0,24.0,0,0,0.70226102,0,0.0,0,0,0,13,0,11,0,13,0,0,0,0,1,,,
21,-3.524611705,104.4433524,Cleared Land,0,5.0,0,0,0.0,0,0.334054667,0,1,0,0,0,11,1,17,0,0,1,0,0,,,
21,-3.400867191,104.6277853,Cleared Land,0,9.0,0,0,0.0,1,0.0,0,1,0,0,0,11,1,17,0,1,0,0,0,,,
9,-3.118423272,104.7229024,Oil palm monoculture,1,18.0,8,0,0.0,0,0.0,0,0,0,0,0,11,0,2,0,1,0,0,0,,,
8,-3.763958413,104.5271835,Rubber monoculture,0,15.0,3,1,0.0,0,0.0,0,0,0,0,0,11,0,23,0,0,0,0,0,,,0.0
6,-3.670834547,104.543914,Secondary Swamp Forest,1,44.0,10,0,0.0,0,0.0,0,0,0,35,0,11,0,25,0,0,0,0,0,,,
20,-3.359535784,104.6265947,Settlement,0,11.0,0,0,0.0,0,0.9257,1,0,0,0,0,23,1,14,0,0,2,0,0,,,
20,-3.268842127,104.6852274,Settlement,1,10.0,6,0,0.0,0,0.9579,1,0,0,0,0,21,1,9,0,0,1,0,0,,,
18,-3.577331657,104.4959074,Grass or Savanna,0,30.0,0,0,0.992470442,0,0.0,0,0,0,0,0,11,0,31,0,0,0,0,0,,,
2,-3.682245386,104.4746419,Secondary Dryland Forest,1,43.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,44,0,0,0,0,0,,,
9,-3.530118695,104.4303363,Oil palm monoculture,1,64.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,20,0,1,0,1,0,,,
20,-3.278986582,104.6890845,Settlement,0,11.0,0,0,0.0,0,0.9883,1,0,0,0,0,21,1,13,0,0,1,0,0,,,
21,-3.417455047,104.5785345,Cleared Land,0,46.0,0,0,0.618225169,0,0.0,0,1,0,0,0,11,0,11,0,0,0,0,1,,,
21,-3.414387186,104.6521052,Cleared Land,0,13.0,0,0,0.0,1,0.355312784,0,1,0,0,0,11,1,24,0,1,1,0,0,,,
20,-3.524428882,104.4690234,Settlement,0,13.0,0,0,0.0,0,0.9486,1,0,0,0,0,13,1,25,0,0,1,0,0,,,
18,-3.408670618,104.7225858,Grass or Savanna,0,12.0,0,0,0.999287911,1,0.0,0,1,0,0,0,11,0,19,0,0,0,0,0,,,
20,-3.695034088,104.5036573,Settlement,1,12.0,6,0,0.0,0,0.9302,1,0,0,0,0,13,1,26,0,0,1,0,0,,,
20,-3.396078117,104.5774242,Settlement,0,13.0,0,0,0.0,0,0.9914,1,0,0,0,0,23,1,12,0,0,2,0,0,,,
9,-3.134489413,104.5674403,Oil palm monoculture,1,51.0,10,0,0.0,0,0.0,0,0,0,0,0,12,0,9,0,1,0,1,0,,,
13,-3.316041712,104.5427993,Other Cropland,0,5.0,0,0,0.919932213,1,0.898559956,0,0,0,0,0,11,1,23,0,1,1,0,0,,,
15,-3.199975771,104.5521009,Rubber agroforestry,0,38.0,5,0,0.406261971,1,0.0,0,0,0,0,0,21,0,14,0,1,0,0,1,,,1.0
21,-3.305986439,104.6269559,Cleared Land,0,10.0,0,0,0.0,1,0.852633866,0,1,0,0,0,11,1,20,0,1,1,0,0,,,
8,-3.639433557,104.4620895,Rubber monoculture,1,49.0,6,0,0.0,0,0.0,0,0,0,0,0,11,0,35,18,0,0,0,1,,,0.0
23,-3.563468311,104.5634494,Waterbody,0,8.0,0,0,0.0,1,0.0,0,0,0,65,0,11,0,10,0,0,0,0,0,,,
8,-3.373176174,104.729814,Rubber monoculture,1,43.0,8,0,0.0,0,0.0,0,0,0,0,0,11,0,29,0,0,0,0,1,,,0.0
21,-3.328348831,104.5444268,Cleared Land,0,7.0,0,0,0.0,1,0.0,0,1,0,0,0,11,1,20,0,1,0,0,0,,,
9,-3.539188506,104.4022885,Oil palm monoculture,1,69.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,25,0,1,0,1,0,,,
21,-3.438863192,104.5158172,Cleared Land,0,29.0,3,1,0.0,0,0.0,0,1,0,0,0,12,0,31,0,0,0,0,1,,,
21,-3.212496927,104.6923129,Cleared Land,0,21.0,0,0,0.0,1,0.0,0,1,0,19,0,11,0,11,0,0,0,0,0,,,
23,-3.069203714,104.783399,Waterbody,0,5.0,0,0,0.0,1,0.0,0,0,0,31,0,21,1,3,0,1,0,0,0,,,
6,-3.544789137,104.534813,Secondary Swamp Forest,1,26.0,6,0,0.0,0,0.0,0,0,0,15,0,11,0,12,0,0,0,0,0,,,
21,-3.108301112,104.6770316,Cleared Land,0,21.0,0,0,0.509052118,1,0.0,0,1,0,0,0,11,0,9,0,0,0,0,0,,,
17,-3.106272221,104.7625482,Paddy Field,0,9.0,0,0,0.991540736,1,0.0,0,1,0,0,0,21,1,3,0,1,0,0,0,,,
2,-3.573889231,104.332673,Secondary Dryland Forest,1,52.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,44,0,0,0,0,1,,,
18,-3.100519981,104.7082497,Grass or Savanna,0,11.0,0,0,0.904767561,0,0.0,0,0,0,0,0,21,0,4,0,0,0,0,0,,,
9,-3.146622627,104.5767553,Oil palm monoculture,1,34.0,8,0,0.0,0,0.0,0,0,0,0,0,11,0,5,0,1,0,1,0,,,
20,-3.043773461,104.748667,Settlement,0,10.0,0,0,0.0,0,0.955,1,0,0,0,0,30,1,9,0,0,2,0,0,,,
20,-3.20831429,104.6506025,Settlement,0,6.0,0,0,0.0,0,0.9479,1,0,0,0,0,23,1,10,0,0,2,0,0,,,
21,-3.18524736,104.5997331,Cleared Land,0,32.0,0,0,0.001666263,0,0.0,0,1,0,0,0,11,0,17,0,0,0,0,0,,,
13,-3.380970683,104.6771832,Other Cropland,0,12.0,0,0,0.997307832,1,0.008545958,0,0,0,0,0,11,1,22,0,1,1,0,0,,,
13,-3.770977038,104.5205216,Other Cropland,0,13.0,0,0,0.963953487,1,0.0,0,0,0,0,0,13,1,15,0,1,0,0,0,,,
21,-3.34566798,104.7181044,Cleared Land,0,12.0,0,0,0.872326025,1,0.0,0,1,0,0,0,11,0,18,0,0,0,0,0,,,
21,-3.315301501,104.5594897,Cleared Land,0,8.0,0,0,0.0,1,0.0,0,1,0,0,0,11,1,21,0,1,0,0,0,,,
23,-3.117370924,104.7768173,Waterbody,0,,0,0,0.0,1,0.0,0,0,3,96,0,21,0,3,0,0,0,0,0,,,
9,-3.70509382,104.3912166,Oil palm monoculture,1,62.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,37,4,1,0,1,0,,,
21,-3.39075395,104.6751053,Cleared Land,0,11.0,0,0,0.178298809,1,0.0,0,1,0,0,0,12,0,24,0,0,0,0,0,,,
13,-3.229566365,104.6742759,Other Cropland,0,19.0,0,0,0.939963748,1,0.0,0,0,0,0,0,21,0,6,0,0,0,0,0,,,
23,-3.459459779,104.69481,Waterbody,0,,0,0,0.0,1,0.0,0,0,1,82,0,11,0,11,0,0,0,0,0,,,
9,-3.71684801,104.3804612,Oil palm monoculture,1,50.0,16,0,0.0,0,0.0,0,0,0,0,0,12,0,47,6,1,0,1,0,,,
9,-3.540958769,104.4085848,Oil palm monoculture,1,62.0,15,0,0.0,0,0.0,0,0,0,0,0,11,0,26,0,1,0,1,0,,,
23,-3.169961562,104.7572999,Waterbody,0,,0,0,0.0,0,0.0,0,0,2,94,0,11,0,4,0,0,0,0,0,,,
6,-3.659985554,104.5406009,Secondary Swamp Forest,0,31.0,0,0,0.68979385,0,0.0,0,0,0,16,0,11,0,19,0,0,0,0,0,,,
9,-3.105161905,104.6421882,Oil palm monoculture,1,25.0,6,0,0.0,0,0.0,0,0,0,0,0,12,0,3,0,1,0,0,1,,,
6,-3.66287951,104.5535412,Secondary Swamp Forest,0,33.0,0,0,0.599141047,1,0.0,0,0,0,32,0,11,0,17,0,0,0,0,0,,,
20,-3.538292227,104.5916443,Settlement,0,15.0,0,0,0.0,0,0.9759,1,0,0,0,0,13,1,18,0,0,1,0,0,,,
13,-3.218463204,104.6639307,Other Cropland,0,18.0,0,0,0.979928018,0,0.0,0,0,0,0,0,21,0,11,0,0,0,0,0,,,
8,-3.362710664,104.6783649,Rubber monoculture,0,23.0,5,0,0.157409947,1,0.0,0,0,0,0,0,11,0,17,0,0,0,0,1,,,0.0
8,-3.592251809,104.5485515,Rubber monoculture,0,30.0,0,0,0.073927106,0,0.0,0,0,0,0,0,11,0,19,0,0,0,0,1,,,0.0
20,-3.588140517,104.5890178,Settlement,0,12.0,0,0,0.0,0,0.9186,1,0,0,0,0,13,1,24,0,0,1,0,0,,,
9,-3.171219028,104.5810361,Oil palm monoculture,0,21.0,5,0,0.059415958,0,0.0,0,0,0,0,0,11,0,6,0,1,0,0,0,,,
6,-3.176297944,104.6819054,Secondary Swamp Forest,0,13.0,5,0,0.0,0,0.482998038,1,0,0,29,0,21,1,8,0,0,1,0,0,,,
18,-3.409714048,104.7218589,Grass or Savanna,0,13.0,0,0,0.906581513,1,0.0,0,0,0,0,0,11,1,20,0,1,0,0,0,,,
17,-3.107654543,104.7880409,Paddy Field,0,13.0,0,0,0.93403791,0,0.0,0,0,0,11,0,21,1,5,0,1,0,0,0,,,
13,-3.410472095,104.630318,Other Cropland,0,12.0,0,0,0.922093102,1,0.0,0,0,0,0,0,11,1,21,0,1,0,0,0,,,
20,-3.44492311,104.5906187,Settlement,0,12.0,0,0,0.0,0,0.9498,1,0,0,0,0,22,1,25,0,0,2,0,0,,,
8,-3.639246275,104.4593249,Rubber monoculture,0,55.0,0,0,0.344693527,0,0.0,0,0,0,0,0,11,0,40,0,0,0,0,1,,,0.0
2,-3.737128002,104.564854,Secondary Dryland Forest,1,52.0,13,0,0.0,0,0.0,0,0,0,0,0,11,0,30,0,0,0,0,0,,,
9,-3.544731169,104.4013209,Oil palm monoculture,1,68.0,14,0,0.0,0,0.0,0,0,0,0,0,11,0,16,0,1,0,1,0,,,
23,-3.156740327,104.6414167,Waterbody,0,18.0,0,0,0.812879004,0,0.0,0,0,0,0,0,11,0,7,0,0,0,0,0,,,
9,-3.530314895,104.3825838,Oil palm monoculture,1,59.0,14,0,0.0,0,0.0,0,0,0,0,0,11,0,34,0,1,0,1,0,,,
8,-3.265827775,104.7291808,Rubber monoculture,0,47.0,0,0,0.562776882,0,0.0,0,0,0,0,0,12,0,13,0,0,0,0,1,,,0.0
13,-3.390910019,104.6829087,Other Cropland,0,9.0,0,0,0.94599694,1,0.443781565,0,0,0,0,0,11,1,19,0,1,1,0,0,,,
17,-3.106352485,104.7861948,Paddy Field,0,8.0,0,0,0.978011462,1,0.0,0,0,0,0,0,21,1,4,0,1,0,0,0,,,
6,-3.581077301,104.6184301,Secondary Swamp Forest,0,32.0,0,0,0.676369657,0,0.0,0,0,0,25,0,11,0,21,0,0,0,0,0,,,
